Gemeente,Evolutie 2018 - 2019,Mediaanprijs 2018,Mediaanprijs 2019,Mediaanprijs 2020,Evolutie Juli 2020 - December 2019,publicatiekolom
Linkebeek,-2,425,415,null,null,0
Lint,2,315,319.75,370,16,16
Linter,-12,225,199,231.25,16,16
Lobbes,-6,165,155,182.75,18,18
Lochristi,18,310,365,340,-7,-7
Lokeren,19,227,270,257.5,-5,-5
Lommel,3,225,232.5,250,8,8
Londerzeel,-1,299,295,330,12,12
Lontzen,null,null,null,null,null,-50
Lo-Reninge,null,null,250,null,null,-50
Lubbeek,-7,380,355,372.5,5,5
Liège,3,149,153,165,8,8
Lummen,0,255,255,257,1,1
Maarkedal,20,255,305,281.291,-8,-8
Maaseik,9,220,240,250,4,4
Maasmechelen,-3,193.5,187.5,210,12,12
Machelen,6,270,285,305,7,7
Maldegem,16,240.003,279.5,262.5,-6,-6
Malle,8,312.5,339,360,6,6
Malmedy,12,185,207.5,175,-16,-16
Manage,-4,160,154.25,152.75,-1,-1
Manhay,-3,180,175,null,null,0
Marche-en-Famenne,19,180,215,190,-12,-12
Marchin,9,185,202.5,185,-9,-9
Martelange,13,163,184.5,null,null,0
Mechelen,6,250,264,278,5,5
Meerhout,-8,255,235,null,null,0
Meise,4,340,352.5,363,3,3
Meix-devant-Virton,-6,165,155,null,null,0
Melle,5,315,330,310,-6,-6
Menen,6,155,165,148.5,-10,-10
Merbes-le-Château,15,135,155,null,null,0
Merchtem,10,295,325,350.464,8,8
Merelbeke,-1,316.089,312.5,306,-2,-2
Merksplas,-6,302,285,344,21,21
Mesen,null,null,150,null,null,-50
Messancy,5,252.5,265,282,6,6
Mettet,-8,206.25,190,237.5,25,25
Meulebeke,2,215,220,251.25,14,14
Middelkerke,12,210,235,202.5,-14,-14
Modave,-7,190,176,null,null,0
Moerbeke,13,246.5,277.561,null,null,0
Mouscron,0,150,150,150,0,0
Mol,0,235,236,243,3,3
Momignies,27,134,170,135,-21,-21
Mont-de-l'Enclus,3,195,200,null,null,0
Montigny-le-Tilleul,15,165,190,195,3,3
Mont-Saint-Guibert,10,289.75,320,345,8,8
Moorslede,4,200,207.5,218,5,5
Morlanwelz,8,125,135,150,11,11
Mortsel,6,300,318,350,10,10
Musson,-13,210,182.5,180,-1,-1
Namur,2,230,235,235,0,0
Nandrin,24,229.5,284.147,null,null,0
Nassogne,-4,172.5,165,182.5,11,11
Nazareth,-3,348.75,338,365.117,8,8
Neufchâteau,0,152,151.75,null,null,0
Neupré,-7,270,250,255,2,2
Niel,12,200,224,220,-2,-2
Nieuwerkerken,22,187,229,null,null,0
Nieuwpoort,-8,238,220,262.5,19,19
